id,name,other_trades,other_trades_parenth,role_primary,relation_to,guild_memberships,seller_descriptions,maker_descriptions,material,qualifier_im,seller_trades,seller_trades_parenth,maker_trades,maker_trade_parentheses_1,maker_qualifier
1,ABRAHAM,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Philosophical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,ABRAHAM,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mathematical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,ABRAHAM,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
91,THOMPSON,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mathematical,(in wood),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
91,THOMPSON,Unknown,Unknown,Unknown,Unknown,Stationers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
146,BEDFORD,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mathematical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
146,BEDFORD,Unknown,Unknown,Unknown,Unknown,Clockmakers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
146,BEDFORD,Unknown,Unknown,Unknown,Unknown,Stationers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
146,BEDFORD,Unknown,Unknown,Engraver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
151,ADAMS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Spectacle,Unknown,Unknown
151,ADAMS,Unknown,Unknown,Unknown,Unknown,Spectaclemakers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
214,ABBOTT,Unknown,Unknown,Unknown,Unknown,Clockmakers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
