ref,date,name,other_trades,Other Trades Parenth,Other Trades Dates,Other Trade Suffix 2,Role_primary,Relation to,RoleRelationDates,guild_memberships,opticians,seller_descriptions,Qualifier IS,Dates IS,maker_descriptions,IM Dates Parenth,Material,Qualifier IM,seller_trades,Seller_trades parenth,Seller trade dates,maker_trades,Maker_trade parentheses 1,Maker_trade Date Qual,Maker_qualifier
40,1671-01-01T00:00:00Z,MOXON,,,,,,,,,,,,,Mathematical,,,,,,,,,,
40,1671-01-01T00:00:00Z,MOXON,,,,,Engraver,,,,,,,,,,,,,,,,,,
40,1671-01-01T00:00:00Z,MOXON,,,,,Printer,,,,,,,,,,,,,,,,,,
42,1770-01-01T00:00:00Z,MANSELL,,,,,,,,,,,,,,,,,,,,Rule,,,
43,1781-01-01T00:00:00Z,MANTICHA,,,,,,,,,,,,,,,,,,,,Barometer,,,
44,1742-01-01T00:00:00Z,MARIOT,,,,,,,,,,,,,,,,,,,,Barometer,,,
44,1742-01-01T00:00:00Z,MARIOT,,,,,,,,,,,,,,,,,,,,Thermometer,,,
45,1665-01-01T00:00:00Z,MARKE,,,,,,,,,,,,,Mathematical,,"silver, brass, ivory, wood",,,,,,,,
45,1665-01-01T00:00:00Z,MARKE,,,,,,,,Clockmakers,,,,,,,,,,,,,,,
45,1665-01-01T00:00:00Z,MARKE,,,,,,,,Joiners,,,,,,,,,,,,,,,
47,1788-01-01T00:00:00Z,BLEULER,,,,,,,,,,,,,Mathematical,,,,,,,,,,
47,1788-01-01T00:00:00Z,BLEULER,,,,,,,,,,,,,Philosophical,,,,,,,,,,
47,1788-01-01T00:00:00Z,BLEULER,,,,,,,,,,,,,Optical,,,,,,,,,,
47,1788-01-01T00:00:00Z,BLEULER,,,,,,,,,Optician,,,,,,,,,,,,,,
47,1788-01-01T00:00:00Z,BLEULER,,,,,,,,Spectaclemakers,,,,,,,,,,,,,,,
49,1704-01-01T00:00:00Z,BLOW,,,,,,,,,,,,,Mathematical,,,,,,,,,,
49,1704-01-01T00:00:00Z,BLOW,,,,,,,,Joiners,,,,,,,,,,,,,,,
50,1794-01-01T00:00:00Z,BLUNT,,,,,,,,,,,,,Mathematical,,,,,,,,,,
50,1794-01-01T00:00:00Z,BLUNT,,,,,,,,,Optician,,,,,,,,,,,,,,
50,1794-01-01T00:00:00Z,BLUNT,,,,,,,,Spectaclemakers,,,,,,,,,,,,,,,
51,1649-01-01T00:00:00Z,BOIG,,,,,,,,,,,,,Mathematical,,,?,,,,,,,
54,1714-01-01T00:00:00Z,BRIDGER,,,,,,,,,,,,,Philosophical,,,,,,,,,,
54,1714-01-01T00:00:00Z,BRIDGER,,,,,,,,,,,,,Mathematical,,,,,,,,,,
55,1773-01-01T00:00:00Z,BROWN,,,,,,,,,,,,,,,,,,,,Hydrometer,,,
56,1642-01-01T00:00:00Z,BISSAKER,,,,,,,,,,,,,Mathematical,,(in wood),,,,,,,,
56,1642-01-01T00:00:00Z,BISSAKER,,,,,,,,Stationers,,,,,,,,,,,,,,,
58,1759-01-01T00:00:00Z,BROWNE,,,,,,,,,,,,,,,,,,,,Compass,,,
59,1674-01-01T00:00:00Z,BUIRD,,,,,,,,,,,,,Nautical,,,?,,,,,,,
59,1674-01-01T00:00:00Z,BUIRD,,,,,,,,,,Nautical,,,,,,,,,,,,,
60,1793-01-01T00:00:00Z,BURTON,,,,,,,,,Optician,,,,,,,,,,,,,,
61,1749-01-01T00:00:00Z,BURTON,,,,,,,,,,,,,,,,Not specified,,,,,,,
63,1532-01-01T00:00:00Z,GEMINI,,,,,,,,,,,,,Mathematical,,,,,,,,,,
63,1532-01-01T00:00:00Z,GEMINI,,,,,,,,Stationers,,,,,,,,,,,,,,,
63,1532-01-01T00:00:00Z,GEMINI,,,,,Engraver,,,,,,,,,,,,,,,,,,
63,1532-01-01T00:00:00Z,GEMINI,,,,,Printer,,,,,,,,,,,,,,,,,,
65,1568-01-01T00:00:00Z,COLE,,,,,,,,,,,,,Mathematical,,(in metal),,,,,,,,
65,1568-01-01T00:00:00Z,COLE,,,,,Engraver,,,,,,,,,,,,,,,,,,
65,1568-01-01T00:00:00Z,COLE,,,,,Smith ,gold,,,,,,,,,,,,,,,,,
