source,relationship,target
1987,SEE_ALSO,1986
5538,APPRENTICED_TO,5038
6027,TOOK_OVER_FROM,543
540,SUCCEEDED__BY,543
540,HAD_APPRENTICE,537
540,HAD_APPRENTICE,407
540,PARENT_OF,6027
4649,HAD_APPRENTICE,343
1987,SEE_ALSO,4491
543,TOOK_OVER_FROM,540
543,ASSOCIATED_WITH,537
543,ASSOCIATED_WITH,407
543,SUCCEEDED__BY,6027
4385,SEE_ALSO,4384
8392,SAME_PREMISES_AS,4385
1652,SEE_ALSO,1649
4384,SEE_ALSO,4385
9624,SEE_ALSO,10173
10173,SEE_ALSO,10172
10172,TOOK_OVER_FROM,9624
10172,PARTNERSHIP,9624
26,SEE_ALSO,844
27,SIBLING_OF,26
27,SEE_ALSO,844
844,SEE_ALSO,27
26,SIBLING_OF,27
844,SEE_ALSO,26
844,SEE_ALSO,25
25,SEE_ALSO,27
25,SEE_ALSO,26
10173,PARTNERSHIP,9624
25,SEE_ALSO,844
9624,SUCCEEDED__BY,10172
9624,TOOK_OVER_FROM,5057
561,PARTNERSHIP,975
1988,ASSOCIATED_WITH,5521
561,APPRENTICED_TO,562
1988,SPOUSE_OF,2081
1988,GRANDCHILD_OF,562
561,SUCCEEDED__BY,1988
561,TOOK_OVER_FROM,975
562,PARENT_OF,561
562,PARTNERSHIP,975
562,HAD_APPRENTICE,561
562,SUCCEEDED__BY,975
562,SEE_ALSO,2658
1988,SEE_ALSO,2658
1988,SEE_ALSO,5066
1988,SUCCEEDED__BY,2081
1988,CHILD_OF,561
5066,SEE_ALSO,1988
975,SUCCEEDED__BY,561
975,SEE_ALSO,1988
975,TOOK_OVER_FROM,562
975,SEE_ALSO,5521
2658,SEE_ALSO,562
2658,SEE_ALSO,561
2658,SEE_ALSO,1988
2658,SEE_ALSO,5521
8874,ASSOCIATED_WITH,6367
5560,APPRENTICED_TO,1202
6127,SUCCEEDED__BY,8674
8674,TOOK_OVER_FROM,6127
1989,TOOK_OVER_FROM,1990
1990,SEE_ALSO,4651
1990,SUCCEEDED__BY,1989
1989,SEE_ALSO,4651
1067,SEE_ALSO,1064
6132,SEE_ALSO,2659
3313,PARTNERSHIP,4654
4654,SUCCEEDED__BY,3313
4654,TOOK_OVER_FROM,3313
4430,WORKED_FOR,749
29,SEE_ALSO,1252
10380,SEE_ALSO,10247
5300,PARENT_OF,1068
1068,CHILD_OF,5300
5735,HAD_APPRENTICE,4226
5735,APPRENTICED_TO,1068
5735,PARTNERSHIP,5736
5735,SIBLING_OF,5721
5735,CHILD_OF,1068
5735,PARENT_OF,4226
1068,ASSOCIATED_WITH,9036
1068,PARENT_OF,5721
5721,HAD_APPRENTICE,9339
4226,CHILD_OF,5735
5721,PARTNERSHIP,5736
4226,APPRENTICED_TO,5735
1068,PARENT_OF,8802
1068,PARENT_OF,5735
1068,APPRENTICED_TO,5300
1068,HAD_APPRENTICE,5721
5721,SIBLING_OF,5735
