id,other_trades,other_trades_parenth,role_primary,relation_to,guild_memberships,seller_descriptions,maker_descriptions,material,qualifier_im,seller_trades,seller_trades_parenth,maker_trades,maker_trade_parentheses_1,maker_qualifier
176,,,,,Clockmakers,,,,,,,,,
176,,,,,Stationers,,,,,,,,,
178,,,,,,,,,,,,Rule,,
178,,,,,,,,,,,,Rule,,
178,,,,,Clockmakers,,,,,,,,,
178,,,,,Woodmongers,,,,,,,,,
179,,,,,,,Optical,,,,,,,
180,,,,,,,Mathematical,,,,,,,
180,,,,,Broderers,,,,,,,,,
180,,,Engineer,,,,,,,,,,,
181,,,Grinder ,glass,,,,,,,,,,
181,,,Blower ,glass,,,,,,,,,,
182,,,,,,,Mathematical,,,,,,,
182,,,,,,,Philosophical,,,,,,,
182,,,,,,,Optical,,,,,,,
182,,,,,,,,,,,,,,
182,,,,,Grocers,,,,,,,,,
183,,,,,,,Mathematical,,,,,,,
183,,,,,,,,,,,,,,
184,,,,,,,Mathematical,,,,,,,
184,,,,,,,,,,,,,,
184,,,,,Grocers,,,,,,,,,
184,,,,,Spectaclemakers,,,,,,,,,
185,,,,,,,,,,,,,,
186,,,,,,,Mathematical,,,,,,,
186,,,,,Grocers,,,,,,,,,
187,,,,,,,Mathematical,,,,,,,
187,,,,,Clockmakers,,,,,,,,,
187,,,,,Goldsmiths,,,,,,,,,
188,,,,,,,,,,,,Barometer,,
188,,,,,,,,,,,,Barometer,,
188,,,,,,,,,,,,Barometer,,
188,,,,,,,,,,,,Barometer,,
188,,,,,,,,,,,,Barometer,,
188,,,,,,,,,,,,Barometer,,
188,,,,,,,,,,,,Thermometer,,
188,,,,,,,,,,,,Thermometer,,
188,,,,,,,,,,,,Thermometer,,
188,,,,,,,,,,,,Thermometer,,
188,,,,,,,,,,,,Thermometer,,
188,,,,,,,,,,,,Thermometer,,
188,,,,,,,,,,,,Telescope,,
188,,,,,,,,,,,,Telescope,,
188,,,,,,,,,,,,Telescope,,
188,,,,,,,,,,,,Telescope,,
188,,,,,,,,,,,,Telescope,,
188,,,,,,,,,,,,Telescope,,
188,,,,,,,Nautical,,,,,,,
188,,,,,,,Philosophical,,,,,,,
188,,,,,,,Mathematical,,,,,,,
188,,,,,,,,,,,,,,
188,,,Manufacturer,microscope,,,,,,,,,,
189,,,,,,,Mathematical,,,,,,,
189,,,,,Clockmakers,,,,,,,,,
189,,,,,Stationers,,,,,,,,,
190,,,,,,,,,,,,Toy,,
190,,,,,,,Mathematical,,,,,,,
191,,,,,,,Mathematical,,,,,,,
191,,,,,Clockmakers,,,,,,,,,
191,,,,,Joiners,,,,,,,,,
192,,,,,,,,,,Map,,,,
192,,,,,,,Mathematical,,,,,,,
192,,,,,Clockmakers,,,,,,,,,
193,,,,,,,,,,,,Globe,,
193,,,,,,,,,,Book,,,,
193,,,,,Weavers,,,,,,,,,
194,,,,,,,,,,,,Instrument,,
194,,,,,Spectaclemakers,,,,,,,,,
195,,,,,,,,,,,,Spectacle,,
195,,,,,Spectaclemakers,,,,,,,,,
196,,,,,,,Mathematical,,,,,,,
197,,,,,,,Mathematical,,,,,,,
197,,,,,Clockmakers,,,,,,,,,
197,,,,,Stationers,,,,,,,,,
198,,,,,,,Mathematical,,,,,,,
198,,,,,Clockmakers,,,,,,,,,
200,,,,,,,Optical,,,,,,,
200,,,,,Spectaclemakers,,,,,,,,,
201,,,,,,,,,,Instrument,,,,
201,,,,,,,,,,Book,,,,
203,,,,,,,Mathematical,,,,,,,
204,,,,,,,,,,,,Watch,,
204,,,,,,,,,,,,Clock,,
204,,,,,Clockmakers,,,,,,,,,
205,,,,,,,Mathematical,(in brass or wood),,,,,,
205,,,,,Broderers,,,,,,,,,
206,,,,,,,Mathematical,,,,,,,
206,,,,,Clockmakers,,,,,,,,,
207,,,,,,,,,,,,Watch,,
207,,,,,,,Mathematical,,,,,,,
207,,,,,Clockmakers,,,,,,,,,
209,,,,,,,,,,,,Instrument,,
209,,,Engineer,,,,,,,,,,,
210,,,,,,,,,,,,Clock,,
210,,,,,Joiners,,,,,,,,,
211,,,Grinder ,lens,,,,,,,,,,
214,,,,,Clockmakers,,,,,,,,,
215,,,Smith ,,,,,,,,,,,
216,,,,,Clockmakers,,,,,,,,,
218,,,,,,,,,,Map,,,,
218,,,,,,,,,,Globe,,,,
218,,,,,Merchant Taylors,,,,,,,,,
218,,,Engraver,,,,,,,,,,,
219,,,,,,,,,Not specified,,,,,
220,,,,,Clockmakers,,,,,,,,,
222,,,,,Grocers,,,,,,,,,
223,,,,,,,,,,,,Compass,,
223,,,,,,,,,,,,Compass,,
223,,,,,,,,,,Map,,,,
223,,,,,,,,,,Instrument,,,,
223,,,,,Stationers,,,,,,,,,
224,,,,,,,,,,,,Compass,,
226,,,,,,,Optical,,,,,,,
227,,,,,,,Mathematical,,,,,,,
227,,,,,Clockmakers,,,,,,,,,
228,,,,,Dyers,,,,,,,,,
229,,,,,,,,,,,,Compass,,
230,,,,,,,Nautical,,,,,,,
230,,,,,,,Mathematical,,,,,,,
232,,,,,,,,,,,,Glass,optical,
232,,,,,,,Optical,,,,,,,
232,,,,,Turners,,,,,,,,,
234,,,,,,,Mathematical,,,,,,,
234,,,,,Stationers,,,,,,,,,
235,,,,,,,,,,,,Spectacle,,
235,,,,,,,Optical,,,,,,,
235,,,,,Spectaclemakers,,,,,,,,,
236,,,,,,,Mathematical,,,,,,,
236,,,,,Grocers,,,,,,,,,
237,,,,,,,"Mathematical, Philosophical*",,,,,,,
237,,,,,Drapers,,,,,,,,,
239,,,,,,,,,,,,Glass,,
239,,,,,Goldsmiths,,,,,,,,,
240,,,,,,,,,,,,Glass,,
241,,,,,,,,,,,,Glass,,
241,,,,,Goldsmiths,,,,,,,,,
243,,,,,,,,,,,,Button,,
243,,,,,,,,,,,,Button,,
243,,,,,,,,,,,,Toy,,
243,,,,,,,,,,,,Toy,,
243,,,,,,,Mathematical,,,,,,,
243,,,Founder ,brass,,,,,,,,,,
243,,,Factor,,,,,,,,,,,
244,,,,,Spectaclemakers,,,,,,,,,
245,,,,,,,Mathematical,,,,,,,
245,,,Printer,,,,,,,,,,,
246,,,,,,,Mathematical,,,,,,,
247,,,,,,,Mathematical,,,,,,,
248,,,,,,,Mathematical,,,,,,,
249,,,,,,,,,,,,Instrument,,
249,,,,,,,,,,,,Clock,,
250,,,,,,,Mathematical,,,,,,,
251,,,,,,,,,,,,Spectacle,,
251,,,,,,,,,,,,Spectacle,,
251,,,,,,,Mathematical,,,,,,,
251,,,,,,,,,,,,,,
252,,,,,,,,,,,,Spectacle,,
