source,target,relationship
3328,9156,SIBLING_OF
8385,557,CHILD_OF
9998,9999,AGENT_TO
2981,557,TOOK_OVER_FROM
2981,935,SEE_ALSO
935,8880,SUCCEEDED__BY
935,4875,ASSOCIATED_WITH
935,6589,SEE_ALSO
935,9532,EMPLOYED_BY
935,8803,WORKED_FOR
5055,557,TOOK_OVER_FROM
5055,3328,SUCCEEDED__BY
6082,7849,TOOK_OVER_FROM
8335,6083,SIBLING_OF
6083,8335,SIBLING_OF
8336,8335,NEPHEW_NIECE_OF
8336,8334,SIBLING_OF
8334,8335,NEPHEW_NIECE_OF
8334,8336,SIBLING_OF
1691,3850,SUCCEEDED__BY
1691,432,WORKED_FOR
1691,4631,UNCLE_AUNT_OF
3850,3851,SIBLING_OF
3850,1691,TOOK_OVER_FROM
3851,1691,CHILD_OF
3851,4631,SUCCEEDED__BY
3851,3850,SIBLING_OF
4631,7941,SUCCEEDED__BY
4631,1691,APPRENTICED_TO
4631,3851,TOOK_OVER_FROM
7941,9279,ASSOCIATED_WITH
7941,7941,PARENT_OF
7941,4631,TOOK_OVER_FROM
432,5745,PARENT_OF
432,5744,HAD_APPRENTICE
432,188,SIBLING_OF
432,2783,APPRENTICED_TO
432,2603,SUCCEEDED__BY
10321,10325,PARTNERSHIP
10321,3477,APPRENTICED_TO
10325,9514,TOOK_OVER_FROM
10325,10321,PARTNERSHIP
3477,2596,APPRENTICED_TO
3477,4378,SUCCEEDED__BY
3477,6453,HAD_APPRENTICE
5355,979,HAD_APPRENTICE
979,733,SEE_ALSO
979,378,SEE_ALSO
5482,873,HAD_APPRENTICE
873,1085,SEE_ALSO
873,5482,APPRENTICED_TO
501,1970,SEE_ALSO
2648,2647,PARTNERSHIP
2648,4600,SUPPLIED_TO
2648,5640,PARTNERSHIP
4600,1446,ASSOCIATED_WITH
4600,3278,ASSOCIATED_WITH
4600,2321,ASSOCIATED_WITH
4600,3109,ASSOCIATED_WITH
4600,2206,ASSOCIATED_WITH
4600,2205,ASSOCIATED_WITH
4600,3449,ASSOCIATED_WITH
4600,678,ASSOCIATED_WITH
